name,address,access,reset,page,description
SNAPSHOT_OVERLAP_COUNT,0x5020,RO,0x00000000,Event,Saturating snapshot-overlap counter
SNAPSHOT_REJECT_COUNT,0x5024,RO,0x00000000,Event,Saturating snapshot-reject counter
RESET_DISABLED_COUNT,0x5028,RO,0x00000000,Event,Saturating disabled-reset counter
EVENT_CMD,0x502C,WO,0x00000000,Event,Snapshot clear command pulse
SNAPSHOT_R_LO,0x5040,RO,0x00000000,Event,R snapshot bits 31 to 0
SNAPSHOT_R_HI,0x5044,RO,0x00000000,Event,R snapshot bits 63 to 32
SNAPSHOT_Y_LO,0x5048,RO,0x00000000,Event,Y snapshot bits 31 to 0
SNAPSHOT_Y_HI,0x504C,RO,0x00000000,Event,Y snapshot bits 63 to 32
SNAPSHOT_B_LO,0x5050,RO,0x00000000,Event,B snapshot bits 31 to 0
SNAPSHOT_B_HI,0x5054,RO,0x00000000,Event,B snapshot bits 63 to 32
MATRIX_CMD,0x6000,RW,0x00000002,Matrix,Matrix configuration operation and start pulse
MATRIX_STATUS,0x6004,RO,0x00000000,Matrix,Matrix configuration and readback status
MATRIX_COLUMN,0x6008,RW,0x00000000,Matrix,Matrix column index
MATRIX_WDATA_LO,0x600C,RW,0x00000000,Matrix,Matrix command payload bits 31 to 0
MATRIX_WDATA_HI,0x6010,RW,0x00000000,Matrix,Matrix command payload bits 63 to 32
MATRIX_RDATA_LO,0x6014,RO,0x00000000,Matrix,Matrix readback bits 31 to 0
MATRIX_RDATA_HI,0x6018,RO,0x00000000,Matrix,Matrix readback bits 63 to 32
MATRIX_FAULT,0x601C,W1C,0x00000000,Matrix,Sticky command-reject and controller-error faults
MATRIX_REJECT_COUNT,0x6020,RO,0x00000000,Matrix,Saturating rejected-command counter
MATRIX_ERROR_COUNT,0x6024,RO,0x00000000,Matrix,Saturating controller-error counter
TX_BUNDLE_STATUS,0x7000,RO,0x00000000,TX,Bundle and output-path status
TX_FIFO_STATUS,0x7004,RO,0x00000000,TX,Output FIFO level and flags
TX_FIFO_GEOMETRY,0x7008,RO,0x01000081,TX,Fixed FIFO reserve threshold and depth
TX_DDR_STATUS,0x700C,RO,0x00000000,TX,DDR pairer status
TX_FAULT,0x7010,W1C,0x00000000,TX,Sticky missing-source and FIFO-overflow faults
TX_MISSING_SOURCE_COUNT,0x7014,RO,0x00000000,TX,Saturating missing-source counter
TX_FIFO_OVERFLOW_COUNT,0x7018,RO,0x00000000,TX,Saturating output-FIFO overflow counter
PLL_CTRL,0x8000,RW,0x00004000,PLL,PLL and clock-source controls
PLL_STATUS,0x8004,RO,0x00000000,PLL,PLL lock and active clock controls
PLL_FAULT,0x8008,W1C,0x00000000,PLL,Sticky lock-loss fault
PLL_LOCK_LOSS_COUNT,0x800C,RO,0x00000000,PLL,Saturating lock-loss counter
SLVS_CTRL,0x9000,RW,0x00000140,Analog,SLVS driver and active-low reference controls
RX_CTRL,0x9004,RW,0x00000000,Analog,Receiver select enable and termination controls
