register,field,address,bits,lsb,width,access,reset,description
SNAPSHOT_REJECT_COUNT,COUNT,0x5024,[31:0],0,32,RO,0x0,Saturating rejected snapshot-request count
RESET_DISABLED_COUNT,COUNT,0x5028,[31:0],0,32,RO,0x0,Saturating event completions without automatic reset
EVENT_CMD,SNAPSHOT_CLEAR,0x502C,[0],0,1,WO,0x0,Pulse snapshot clear
SNAPSHOT_R_LO,DATA,0x5040,[31:0],0,32,RO,0x0,R snapshot bits 31 through 0
SNAPSHOT_R_HI,DATA,0x5044,[31:0],0,32,RO,0x0,R snapshot bits 63 through 32
SNAPSHOT_Y_LO,DATA,0x5048,[31:0],0,32,RO,0x0,Y snapshot bits 31 through 0
SNAPSHOT_Y_HI,DATA,0x504C,[31:0],0,32,RO,0x0,Y snapshot bits 63 through 32
SNAPSHOT_B_LO,DATA,0x5050,[31:0],0,32,RO,0x0,B snapshot bits 31 through 0
SNAPSHOT_B_HI,DATA,0x5054,[31:0],0,32,RO,0x0,B snapshot bits 63 through 32
MATRIX_CMD,START,0x6000,[0],0,1,WO,0x0,Pulse the selected matrix configuration operation
MATRIX_CMD,OPERATION,0x6000,[3:1],1,3,RW,0x1,"1 write column, 2 read column, 3 fill zero, 4 fill one"
MATRIX_STATUS,BUSY,0x6004,[0],0,1,RO,0x0,Matrix configuration controller is active
MATRIX_STATUS,DONE,0x6004,[1],1,1,RO,0x0,Most recent matrix command completed
MATRIX_STATUS,ERROR,0x6004,[2],2,1,RO,0x0,Matrix configuration controller reports an error
MATRIX_STATUS,LAST_ERROR,0x6004,[6:3],3,4,RO,0x0,Most recent matrix controller error code
MATRIX_STATUS,READBACK_VALID,0x6004,[7],7,1,RO,0x0,MATRIX_RDATA contains valid readback data
MATRIX_STATUS,CONFIG_VALID,0x6004,[8],8,1,RO,0x0,Matrix configuration state is valid
MATRIX_COLUMN,INDEX,0x6008,[5:0],0,6,RW,0x0,Matrix column index from 0 through 43
MATRIX_WDATA_LO,DATA,0x600C,[31:0],0,32,RW,0x0,Matrix write payload bits 31 through 0
MATRIX_WDATA_HI,DATA,0x6010,[31:0],0,32,RW,0x0,Matrix write payload bits 63 through 32
MATRIX_RDATA_LO,DATA,0x6014,[31:0],0,32,RO,0x0,Matrix readback bits 31 through 0
MATRIX_RDATA_HI,DATA,0x6018,[31:0],0,32,RO,0x0,Matrix readback bits 63 through 32
MATRIX_FAULT,COMMAND_REJECT,0x601C,[0],0,1,W1C,0x0,Sticky unsafe or invalid matrix command
MATRIX_FAULT,CONTROLLER_ERROR,0x601C,[1],1,1,W1C,0x0,Sticky matrix controller error edge
MATRIX_FAULT,LAST_ERROR,0x601C,[7:4],4,4,RO,0x0,Live most recent matrix controller error code
MATRIX_REJECT_COUNT,COUNT,0x6020,[31:0],0,32,RO,0x0,Saturating rejected matrix-command count
MATRIX_ERROR_COUNT,COUNT,0x6024,[31:0],0,32,RO,0x0,Saturating matrix controller-error edge count
TX_BUNDLE_STATUS,BUSY,0x7000,[0],0,1,RO,0x0,Event-bundle transmitter is active
TX_BUNDLE_STATUS,IDLE,0x7000,[1],1,1,RO,0x0,Event-bundle transmitter is idle
TX_BUNDLE_STATUS,MISSING_SOURCE,0x7000,[2],2,1,RO,0x0,Current bundle completed without every required source
TX_FIFO_STATUS,EMPTY,0x7004,[0],0,1,RO,0x0,Output FIFO is empty
TX_FIFO_STATUS,FULL,0x7004,[1],1,1,RO,0x0,Output FIFO is full
TX_FIFO_STATUS,ALMOST_FULL,0x7004,[2],2,1,RO,0x0,Output FIFO reached the fixed reserve threshold
TX_FIFO_STATUS,LEVEL,0x7004,[15:4],4,12,RO,0x0,Number of occupied output FIFO words
TX_FIFO_STATUS,FREE_WORDS,0x7004,[31:16],16,16,RO,0x0,Number of free output FIFO words
TX_FIFO_GEOMETRY,RESERVE_ENTRIES,0x7008,[15:0],0,16,RO,0x81,Fixed event-bundle reserve threshold in words
TX_FIFO_GEOMETRY,DEPTH,0x7008,[31:16],16,16,RO,0x100,Physical output FIFO depth in words
TX_DDR_STATUS,EMPTY,0x700C,[0],0,1,RO,0x0,DDR pairer has no pending word
TX_DDR_STATUS,BUSY,0x700C,[1],1,1,RO,0x0,DDR pairer contains or emits a word pair
TX_DDR_STATUS,PAIR_VALID,0x700C,[2],2,1,RO,0x0,DDR low and high words are valid
TX_DDR_STATUS,PADDED,0x700C,[3],3,1,RO,0x0,Most recent pair used deterministic odd-word padding
TX_FAULT,MISSING_SOURCE,0x7010,[0],0,1,W1C,0x0,Sticky event-bundle missing-source edge
TX_FAULT,FIFO_OVERFLOW,0x7010,[1],1,1,W1C,0x0,Sticky output FIFO overflow edge
TX_MISSING_SOURCE_COUNT,COUNT,0x7014,[31:0],0,32,RO,0x0,Saturating missing-source edge count
TX_FIFO_OVERFLOW_COUNT,COUNT,0x7018,[31:0],0,32,RO,0x0,Saturating output FIFO overflow edge count
PLL_CTRL,FINT_SELECT,0x8000,[7:0],0,8,RW,0x0,PLL fractional or integer selection code
PLL_CTRL,RO_SWITCH,0x8000,[12:8],8,5,RW,0x0,PLL ring-oscillator switch code
PLL_CTRL,SELECT_PULSE_PFD,0x8000,[13],13,1,RW,0x0,Select pulse input for the phase-frequency detector
PLL_CTRL,ENABLE_DIVIDER,0x8000,[14],14,1,RW,0x1,Enable PLL output divider
PLL_CTRL,SELECT_40M,0x8000,[15],15,1,RW,0x0,Select the 40 MHz PLL path
PLL_CTRL,SELECT_EXTERNAL_160M,0x8000,[16],16,1,RW,0x0,Select the external 160 MHz system clock
PLL_STATUS,LOCKED,0x8004,[0],0,1,RO,0x0,PLL lock indication
PLL_STATUS,EXTERNAL_160M_SELECTED,0x8004,[1],1,1,RO,0x0,External 160 MHz system clock is selected
PLL_STATUS,DIVIDER_ENABLED,0x8004,[2],2,1,RO,0x0,PLL output divider is enabled
PLL_FAULT,LOCK_LOSS,0x8008,[0],0,1,W1C,0x0,Sticky falling edge of PLL lock
PLL_LOCK_LOSS_COUNT,COUNT,0x800C,[31:0],0,32,RO,0x0,Saturating PLL lock-loss edge count
SLVS_CTRL,DRIVE_STRENGTH,0x9000,[3:0],0,4,RW,0x0,SLVS output-driver strength selection
SLVS_CTRL,EXTERNAL_VREF_ENABLE,0x9000,[4],4,1,RW,0x0,Enable external SLVS reference input
SLVS_CTRL,DRIVER_ENABLE,0x9000,[5],5,1,RW,0x0,Enable SLVS output driver
SLVS_CTRL,VREF_ADJUST_B,0x9000,[6],6,1,RW,0x1,Active-low SLVS reference adjustment control
SLVS_CTRL,VREF_400MV_ENABLE,0x9000,[7],7,1,RW,0x0,Enable internal 400 mV SLVS reference
SLVS_CTRL,REFERENCE_DRIVER_ENABLE_B,0x9000,[8],8,1,RW,0x1,Active-low SLVS reference-driver enable
RX_CTRL,SELECT,0x9004,[3:0],0,4,RW,0x0,Receiver input selection code
RX_CTRL,ENABLE,0x9004,[4],4,1,RW,0x0,Enable receiver
RX_CTRL,TERMINATION_ENABLE,0x9004,[5],5,1,RW,0x0,Enable receiver termination
