type	mtime_utc	bytes	sha256	relative_path	absolute_path	link_target
directory	2026-07-10T12:50:36.681713+00:00	4096	NOT_APPLICABLE	svdb	/group/validmgr/PROJET/Prj_xh018/ebecheto/cds_V0/PvsLVS/spadmic_tx_packet_core_HV/svdb	
file	2026-07-10T12:50:36.663735+00:00	464226	5c82fd52529f590ab78343bf2964a81cfcd357ed8ce09fda76f7c8d3ef7c8246	svdb/spadmic_tx_packet_core_HV.nxf	/group/validmgr/PROJET/Prj_xh018/ebecheto/cds_V0/PvsLVS/spadmic_tx_packet_core_HV/svdb/spadmic_tx_packet_core_HV.nxf	
file	2026-07-10T12:50:36.656710+00:00	185	e894339fbf88a7398f9925593a7d03d1995e2528abcf19414074aeabca0eaf0a	svdb/spadmic_tx_packet_core_HV.ixf	/group/validmgr/PROJET/Prj_xh018/ebecheto/cds_V0/PvsLVS/spadmic_tx_packet_core_HV/svdb/spadmic_tx_packet_core_HV.ixf	
file	2026-07-10T12:50:36.656706+00:00	259	50ac4a800b03b2eac1f541cf09d9904e6e7ea56d03643c7f6762861cb5ca4bbd	svdb/spadmic_tx_packet_core_HV.gna	/group/validmgr/PROJET/Prj_xh018/ebecheto/cds_V0/PvsLVS/spadmic_tx_packet_core_HV/svdb/spadmic_tx_packet_core_HV.gna	
file	2026-07-10T12:50:36.185707+00:00	5921	1553f298c25707113c192244d91c3275d802b2cb3b68d880f561318d4a4d018b	pvs_file.index	/group/validmgr/PROJET/Prj_xh018/ebecheto/cds_V0/PvsLVS/spadmic_tx_packet_core_HV/pvs_file.index	
file	2026-07-10T12:50:36.183704+00:00	2732	b30b91e43659d5daf05e06869d521c44e0433220667a937a9a3546b1654e23a1	svdb/mismatched	/group/validmgr/PROJET/Prj_xh018/ebecheto/cds_V0/PvsLVS/spadmic_tx_packet_core_HV/svdb/mismatched	
file	2026-07-10T12:50:36.138719+00:00	470247	1b187d1554d97150fbe0005ac3a4042dda7fe265542eb4913a582053cea295d5	spadmic_tx_packet_core_HV_lvs.sum.cls	/group/validmgr/PROJET/Prj_xh018/ebecheto/cds_V0/PvsLVS/spadmic_tx_packet_core_HV/spadmic_tx_packet_core_HV_lvs.sum.cls	
file	2026-07-10T12:50:36.127715+00:00	1359872	1a1f5d915935c18084708afa1a3b1dfeb4bc94a3769603a6e3d0b473709daab4	.spadmic_tx_packet_core_HV_lvs.sum.rdb	/group/validmgr/PROJET/Prj_xh018/ebecheto/cds_V0/PvsLVS/spadmic_tx_packet_core_HV/.spadmic_tx_packet_core_HV_lvs.sum.rdb	
file	2026-07-10T12:50:35.727731+00:00	1306272	8ad074bd9f2c9eccbebc3038928553dbdb0c73b85e8ffed79bc2ac615758a129	.spadmic_tx_packet_core_HV_lvs.sum.xrf	/group/validmgr/PROJET/Prj_xh018/ebecheto/cds_V0/PvsLVS/spadmic_tx_packet_core_HV/.spadmic_tx_packet_core_HV_lvs.sum.xrf	
file	2026-07-10T12:50:35.703701+00:00	232	bf5abfd2b04f67c0f67bc30703c0f284885106a46123ded19a9bd4fe7bb2bedd	spadmic_tx_packet_core_HV_lvs.sum.cps	/group/validmgr/PROJET/Prj_xh018/ebecheto/cds_V0/PvsLVS/spadmic_tx_packet_core_HV/spadmic_tx_packet_core_HV_lvs.sum.cps	
file	2026-07-10T12:50:35.702720+00:00	13994588	8e9d5d29dce7956dc9cd830e98aec94630080a5ea6f5818058332be658ed0883	netlistLAYOUT	/group/validmgr/PROJET/Prj_xh018/ebecheto/cds_V0/PvsLVS/spadmic_tx_packet_core_HV/netlistLAYOUT	
file	2026-07-10T12:50:35.585716+00:00	1555894	349dd8bc461c15b363667b15f3985c7ff7f48d92386f0a836b9a1cdeb7870ab5	netlistSOURCE	/group/validmgr/PROJET/Prj_xh018/ebecheto/cds_V0/PvsLVS/spadmic_tx_packet_core_HV/netlistSOURCE	
file	2026-07-10T12:50:35.563699+00:00	3642870	c59618da98ac3d8e9882d19e6c9bed15f6221e5d3923a3c8ee1acab17bc61a8f	.spadmic_tx_packet_core_HV_lvs.sum.mdb	/group/validmgr/PROJET/Prj_xh018/ebecheto/cds_V0/PvsLVS/spadmic_tx_packet_core_HV/.spadmic_tx_packet_core_HV_lvs.sum.mdb	
file	2026-07-10T12:50:33.764703+00:00	1344272	7e79b963679b0c72bfcd80dfce41fc50aeb4a0a4e1c93e9dd518c865c299814d	.spadmic_tx_packet_core_HV_lvs.sum.lnn	/group/validmgr/PROJET/Prj_xh018/ebecheto/cds_V0/PvsLVS/spadmic_tx_packet_core_HV/.spadmic_tx_packet_core_HV_lvs.sum.lnn	
file	2026-07-10T12:50:33.763694+00:00	1145140	32d1841672d9b63508681c55c0a367eaab4270d33203f904b955eccab65abdfa	.spadmic_tx_packet_core_HV_lvs.sum.snn	/group/validmgr/PROJET/Prj_xh018/ebecheto/cds_V0/PvsLVS/spadmic_tx_packet_core_HV/.spadmic_tx_packet_core_HV_lvs.sum.snn	
file	2026-07-10T12:50:33.328704+00:00	252184	1bb3e1c1a9f36852e82b9e6f41e324062177d8e223aa2337340fb0e88156ad33	svdb/spadmic_tx_packet_core_HV.lph	/group/validmgr/PROJET/Prj_xh018/ebecheto/cds_V0/PvsLVS/spadmic_tx_packet_core_HV/svdb/spadmic_tx_packet_core_HV.lph	
file	2026-07-10T12:50:33.304685+00:00	434588	61299ef6fdbed0b1df124896b0a77ea833d7b64626d91965425f630e745932d5	svdb/spadmic_tx_packet_core_HV.sph	/group/validmgr/PROJET/Prj_xh018/ebecheto/cds_V0/PvsLVS/spadmic_tx_packet_core_HV/svdb/spadmic_tx_packet_core_HV.sph	
symlink	2026-07-10T12:50:32.742682+00:00	38	NOT_APPLICABLE	.lvsResults	/group/validmgr/PROJET/Prj_xh018/ebecheto/cds_V0/PvsLVS/spadmic_tx_packet_core_HV/.lvsResults	.spadmic_tx_packet_core_HV_lvs.sum.rdb
directory	2026-07-10T12:50:32.450680+00:00	4096	NOT_APPLICABLE	.masco	/group/validmgr/PROJET/Prj_xh018/ebecheto/cds_V0/PvsLVS/spadmic_tx_packet_core_HV/.masco	
file	2026-07-10T12:50:32.449682+00:00	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	.masco/libmap	/group/validmgr/PROJET/Prj_xh018/ebecheto/cds_V0/PvsLVS/spadmic_tx_packet_core_HV/.masco/libmap	
directory	2026-07-10T12:50:32.439690+00:00	4096	NOT_APPLICABLE	SOFTCHECKDB	/group/validmgr/PROJET/Prj_xh018/ebecheto/cds_V0/PvsLVS/spadmic_tx_packet_core_HV/SOFTCHECKDB	
file	2026-07-10T12:50:32.439682+00:00	44	2a056c44c387c4427625e2ef78281d9a182ece21404db66d9a34c39ae5e54958	SOFTCHECKDB/cellrule.idx	/group/validmgr/PROJET/Prj_xh018/ebecheto/cds_V0/PvsLVS/spadmic_tx_packet_core_HV/SOFTCHECKDB/cellrule.idx	
file	2026-07-10T12:50:32.438681+00:00	376	ea663a6cf0cc0deb197a001a6f9f3bca3d157b7ed53ca37a1e107e137f6fc9ee	SOFTCHECKDB/rule.id	/group/validmgr/PROJET/Prj_xh018/ebecheto/cds_V0/PvsLVS/spadmic_tx_packet_core_HV/SOFTCHECKDB/rule.id	
file	2026-07-10T12:50:32.436687+00:00	64	b06f06b8dbe29a14a1d471355fa18dc3fefc49baf2202e71b90186d323adb019	SOFTCHECKDB/cell.id	/group/validmgr/PROJET/Prj_xh018/ebecheto/cds_V0/PvsLVS/spadmic_tx_packet_core_HV/SOFTCHECKDB/cell.id	
file	2026-07-10T12:50:32.425681+00:00	17	332bcd340e0c1ab6d81a4317ee577ac32552d8fff5de765a9a28c60e340e116f	SOFTCHECKDB/.drcbrowser	/group/validmgr/PROJET/Prj_xh018/ebecheto/cds_V0/PvsLVS/spadmic_tx_packet_core_HV/SOFTCHECKDB/.drcbrowser	
file	2026-07-10T12:50:32.395692+00:00	3536216	d465b6093110126e7add11a28a314d8533675c6868756690a28cb3261b5e0573	SOFTCHECKDB/R0002	/group/validmgr/PROJET/Prj_xh018/ebecheto/cds_V0/PvsLVS/spadmic_tx_packet_core_HV/SOFTCHECKDB/R0002	
file	2026-07-10T12:50:31.744676+00:00	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	SOFTCHECKDB/cellrule.own	/group/validmgr/PROJET/Prj_xh018/ebecheto/cds_V0/PvsLVS/spadmic_tx_packet_core_HV/SOFTCHECKDB/cellrule.own	
file	2026-07-10T12:50:31.743677+00:00	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	SOFTCHECKDB/error.cmt	/group/validmgr/PROJET/Prj_xh018/ebecheto/cds_V0/PvsLVS/spadmic_tx_packet_core_HV/SOFTCHECKDB/error.cmt	
directory	2026-07-10T12:50:31.510685+00:00	4096	NOT_APPLICABLE	REPORTDB	/group/validmgr/PROJET/Prj_xh018/ebecheto/cds_V0/PvsLVS/spadmic_tx_packet_core_HV/REPORTDB	
file	2026-07-10T12:50:31.510678+00:00	364	9ca5aba744492a844f2fa1a1d31628ee90a1d65e3d1e6fefaeaf37c8d9b508e0	REPORTDB/cellrule.idx	/group/validmgr/PROJET/Prj_xh018/ebecheto/cds_V0/PvsLVS/spadmic_tx_packet_core_HV/REPORTDB/cellrule.idx	
file	2026-07-10T12:50:31.509678+00:00	72	6e6f55c26002d4c8c3013cfb42aeae7e2a17a06fabcddc1ee66b4af0ad181b40	REPORTDB/rule.id	/group/validmgr/PROJET/Prj_xh018/ebecheto/cds_V0/PvsLVS/spadmic_tx_packet_core_HV/REPORTDB/rule.id	
file	2026-07-10T12:50:31.507680+00:00	497	f09a85f7c4d2498719381c3acc762f5b91cb2c0788070c3aa032acd6f2a56961	REPORTDB/cell.id	/group/validmgr/PROJET/Prj_xh018/ebecheto/cds_V0/PvsLVS/spadmic_tx_packet_core_HV/REPORTDB/cell.id	
file	2026-07-10T12:50:31.506678+00:00	692	3cde26cb3c883a630d0d05ccfebf2022594de6ddaf1cb638f1b7d6c5f31bfba4	REPORTDB/R0002	/group/validmgr/PROJET/Prj_xh018/ebecheto/cds_V0/PvsLVS/spadmic_tx_packet_core_HV/REPORTDB/R0002	
file	2026-07-10T12:50:31.504678+00:00	379	9069d7d33d7c2740563a818f36b99380d972e312be44e35dbd4b240ef946e0ec	REPORTDB/R0001	/group/validmgr/PROJET/Prj_xh018/ebecheto/cds_V0/PvsLVS/spadmic_tx_packet_core_HV/REPORTDB/R0001	
file	2026-07-10T12:50:31.502676+00:00	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	REPORTDB/cellrule.own	/group/validmgr/PROJET/Prj_xh018/ebecheto/cds_V0/PvsLVS/spadmic_tx_packet_core_HV/REPORTDB/cellrule.own	
file	2026-07-10T12:50:31.501679+00:00	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	REPORTDB/error.cmt	/group/validmgr/PROJET/Prj_xh018/ebecheto/cds_V0/PvsLVS/spadmic_tx_packet_core_HV/REPORTDB/error.cmt	
symlink	2026-07-10T12:50:31.287673+00:00	33	NOT_APPLICABLE	.probeData	/group/validmgr/PROJET/Prj_xh018/ebecheto/cds_V0/PvsLVS/spadmic_tx_packet_core_HV/.probeData	./.spadmic_tx_packet_core_HV.ecdb
file	2026-07-10T12:50:31.286676+00:00	1064	bcee6a7e84ba45db04ff1dff6c397ddfb064f0dc88e3aa542ecda08c14c72433	edbToEcdb.log	/group/validmgr/PROJET/Prj_xh018/ebecheto/cds_V0/PvsLVS/spadmic_tx_packet_core_HV/edbToEcdb.log	
file	2026-07-10T12:50:31.243691+00:00	11095846	403eb439da1da533fa7e9bbebbe9e19d3f73bcd767b3a8c86eb0d434c0969d39	.spadmic_tx_packet_core_HV.ecdb	/group/validmgr/PROJET/Prj_xh018/ebecheto/cds_V0/PvsLVS/spadmic_tx_packet_core_HV/.spadmic_tx_packet_core_HV.ecdb	
file	2026-07-10T12:50:26.974647+00:00	4898	5eeb604bbb3b5e559d4676b46a99acabec6824ad9c250b526fdcf7580da3b724	spadmic_tx_packet_core_HV_lvs.sum	/group/validmgr/PROJET/Prj_xh018/ebecheto/cds_V0/PvsLVS/spadmic_tx_packet_core_HV/spadmic_tx_packet_core_HV_lvs.sum	
file	2026-07-10T12:50:26.957649+00:00	14979072	5b4bb691754aa59be5187ae3d00a27e8a6a9acbf0a02ba6398b51e24c3154a5e	svdb/spadmic_tx_packet_core_HV.agf	/group/validmgr/PROJET/Prj_xh018/ebecheto/cds_V0/PvsLVS/spadmic_tx_packet_core_HV/svdb/spadmic_tx_packet_core_HV.agf	
symlink	2026-07-10T12:50:26.558643+00:00	29	NOT_APPLICABLE	.drcSummaryReport	/group/validmgr/PROJET/Prj_xh018/ebecheto/cds_V0/PvsLVS/spadmic_tx_packet_core_HV/.drcSummaryReport	spadmic_tx_packet_core_HV.sum
file	2026-07-10T12:50:26.557648+00:00	12191	d0b5450e5c4d5e58c07e0c7dca7af37ce445a5dd64764b4d4128ecbfe113e0db	spadmic_tx_packet_core_HV.sum	/group/validmgr/PROJET/Prj_xh018/ebecheto/cds_V0/PvsLVS/spadmic_tx_packet_core_HV/spadmic_tx_packet_core_HV.sum	
file	2026-07-10T12:50:26.237642+00:00	5103	fa08159c81a9f78f60893435aac3763575b44c48afc74e907e67dd104f6752f2	svdb/spadmic_tx_packet_core_HV.ecdbmap	/group/validmgr/PROJET/Prj_xh018/ebecheto/cds_V0/PvsLVS/spadmic_tx_packet_core_HV/svdb/spadmic_tx_packet_core_HV.ecdbmap	
file	2026-07-10T12:50:26.234650+00:00	348	1a0c569f89ef9ccf3825fff089b3241f111d76eecc63e43c1dc8f147d2ec82ad	svdb/spadmic_tx_packet_core_HV.gds.map	/group/validmgr/PROJET/Prj_xh018/ebecheto/cds_V0/PvsLVS/spadmic_tx_packet_core_HV/svdb/spadmic_tx_packet_core_HV.gds.map	
file	2026-07-10T12:50:25.421645+00:00	8533	bb1636bfb57fe2f41f47e9cb4144a8d0c1a2d459b88d59d4695d190b5a443fda	svdb/spadmic_tx_packet_core_HV.lnn	/group/validmgr/PROJET/Prj_xh018/ebecheto/cds_V0/PvsLVS/spadmic_tx_packet_core_HV/svdb/spadmic_tx_packet_core_HV.lnn	
file	2026-07-10T12:50:25.420652+00:00	9261493	5eabccdd2f3867335eb83a4b4d403b9f9eab51c80bb7a4462644a11bb934c026	svdb/spadmic_tx_packet_core_HV_pin_xy.spi	/group/validmgr/PROJET/Prj_xh018/ebecheto/cds_V0/PvsLVS/spadmic_tx_packet_core_HV/svdb/spadmic_tx_packet_core_HV_pin_xy.spi	
file	2026-07-10T12:50:25.341636+00:00	9269438	914bf199f13c157e25c6082cf04f880e8f080a12a0d4bd5e23337974f6efad5e	svdb/spadmic_tx_packet_core_HV.net	/group/validmgr/PROJET/Prj_xh018/ebecheto/cds_V0/PvsLVS/spadmic_tx_packet_core_HV/svdb/spadmic_tx_packet_core_HV.net	
file	2026-07-10T12:50:25.035650+00:00	1327928	1a98584b6e5a0f7d46f3631633066497e8b016d7acd62cd860bf1b92beee8e4b	spadmic_tx_packet_core_HV.spi	/group/validmgr/PROJET/Prj_xh018/ebecheto/cds_V0/PvsLVS/spadmic_tx_packet_core_HV/spadmic_tx_packet_core_HV.spi	
file	2026-07-10T12:50:22.827625+00:00	596	881f751b5dbf13a6200fce8de98a428aed253635e11ed7f36e517493bbec1cf5	svdb/spadmic_tx_packet_core_HV.devtab	/group/validmgr/PROJET/Prj_xh018/ebecheto/cds_V0/PvsLVS/spadmic_tx_packet_core_HV/svdb/spadmic_tx_packet_core_HV.devtab	
file	2026-07-10T12:50:20.751608+00:00	76	90c8ecec6ff2c5aa3ec9754b4f8a4742af083c7048c2f04cdc53937cb48d6b02	svdb/spadmic_tx_packet_core_HV.ports	/group/validmgr/PROJET/Prj_xh018/ebecheto/cds_V0/PvsLVS/spadmic_tx_packet_core_HV/svdb/spadmic_tx_packet_core_HV.ports	
file	2026-07-10T12:50:20.749612+00:00	745	a6a0188cb58ac3f996ea608e7f9459fa7b2bc4c6486c193bdb45912b22281d50	.spadmic_tx_packet_core_HV.info.softchk	/group/validmgr/PROJET/Prj_xh018/ebecheto/cds_V0/PvsLVS/spadmic_tx_packet_core_HV/.spadmic_tx_packet_core_HV.info.softchk	
file	2026-07-10T12:50:20.749608+00:00	97	20b832540df842aa2dacbc77dfd0b93243044eed86abd48eda5679aca01860d7	.spadmic_tx_packet_core_HV.info.short	/group/validmgr/PROJET/Prj_xh018/ebecheto/cds_V0/PvsLVS/spadmic_tx_packet_core_HV/.spadmic_tx_packet_core_HV.info.short	
file	2026-07-10T12:50:20.683644+00:00	7098865	4ba3de1de1daeea20b3008a5a87f71be38708bdcad4acd81f3144180cccdadf3	spadmic_tx_packet_core_HV.softchk	/group/validmgr/PROJET/Prj_xh018/ebecheto/cds_V0/PvsLVS/spadmic_tx_packet_core_HV/spadmic_tx_packet_core_HV.softchk	
file	2026-07-10T12:50:10.102553+00:00	26527	7cae0d49a73999f3dfaef0abe484b89259e37867ccbddf535779c05aef679365	svdb/spadmic_tx_packet_core_HV.lvsfile	/group/validmgr/PROJET/Prj_xh018/ebecheto/cds_V0/PvsLVS/spadmic_tx_packet_core_HV/svdb/spadmic_tx_packet_core_HV.lvsfile	
file	2026-07-10T12:50:10.096558+00:00	68815	94aed133648382a1dce427fc1baaf57ede285ec6242e0fb1ad97fbfba6b5d47a	spadmic_tx_packet_core_HV.lmap.perc	/group/validmgr/PROJET/Prj_xh018/ebecheto/cds_V0/PvsLVS/spadmic_tx_packet_core_HV/spadmic_tx_packet_core_HV.lmap.perc	
file	2026-07-10T12:50:08.074542+00:00	16	6c76c1a58e543488a1f4246c38a3463c1fda9fc1a17352dc4a4d83a45bcedf47	svdb/qrc_m_dv_status	/group/validmgr/PROJET/Prj_xh018/ebecheto/cds_V0/PvsLVS/spadmic_tx_packet_core_HV/svdb/qrc_m_dv_status	
file	2026-07-10T12:50:08.073540+00:00	196	eb7851d52eb1296c9a904be6cc0d456aba08b551c01a88c432f399d7e65a1d95	svdb/spadmic_tx_packet_core_HV.env	/group/validmgr/PROJET/Prj_xh018/ebecheto/cds_V0/PvsLVS/spadmic_tx_packet_core_HV/svdb/spadmic_tx_packet_core_HV.env	
symlink	2026-07-10T12:50:07.554542+00:00	33	NOT_APPLICABLE	.lvsExtractionReport	/group/validmgr/PROJET/Prj_xh018/ebecheto/cds_V0/PvsLVS/spadmic_tx_packet_core_HV/.lvsExtractionReport	spadmic_tx_packet_core_HV_lvs.sum
file	2026-07-10T12:50:07.398546+00:00	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	spadmic_tx_packet_core_HV_lvs.err	/group/validmgr/PROJET/Prj_xh018/ebecheto/cds_V0/PvsLVS/spadmic_tx_packet_core_HV/spadmic_tx_packet_core_HV_lvs.err	
file	2026-07-10T12:50:07.396548+00:00	1899	50745fb5deb870a6a947774a68044585de1c6a6a8634278c594106b0ce569790	spadmic_tx_packet_core_HV.lmap	/group/validmgr/PROJET/Prj_xh018/ebecheto/cds_V0/PvsLVS/spadmic_tx_packet_core_HV/spadmic_tx_packet_core_HV.lmap	
file	2026-07-10T12:50:05.517546+00:00	31302	67a8d23458cdbe19ce8d1d1daa741a443da782ecfe4da6b2a28b888f41f8f867	PIPO1.OUT	/group/validmgr/PROJET/Prj_xh018/ebecheto/cds_V0/PvsLVS/spadmic_tx_packet_core_HV/PIPO1.OUT	
file	2026-07-10T12:50:05.475551+00:00	28810	188051b56b8e777e83277862e24d49352b1884f3b9057ee3bff5ad8dea5d674b	PIPO1.LOG	/group/validmgr/PROJET/Prj_xh018/ebecheto/cds_V0/PvsLVS/spadmic_tx_packet_core_HV/PIPO1.LOG	
file	2026-07-10T12:50:05.456554+00:00	11140	c7b52f219e538d258832e2be7ada392d4b8bff5d1caa07d6db1b4f99a8ac8a7f	lay_cellMap.txt	/group/validmgr/PROJET/Prj_xh018/ebecheto/cds_V0/PvsLVS/spadmic_tx_packet_core_HV/lay_cellMap.txt	
file	2026-07-10T12:50:05.454577+00:00	16994304	6d29b54199bb961062acd2057bb9f28ec27aebae3e694293e8ae423d92ecbadf	spadmic_tx_packet_core_HV.gds	/group/validmgr/PROJET/Prj_xh018/ebecheto/cds_V0/PvsLVS/spadmic_tx_packet_core_HV/spadmic_tx_packet_core_HV.gds	
file	2026-07-10T12:50:04.133539+00:00	858	449148fe96167a6d0787861c3575a6f31f4c9598e972ee8a7026e9fb3383dc85	pipo1.setup	/group/validmgr/PROJET/Prj_xh018/ebecheto/cds_V0/PvsLVS/spadmic_tx_packet_core_HV/pipo1.setup	
file	2026-07-10T12:50:03.463540+00:00	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	.config.rul	/group/validmgr/PROJET/Prj_xh018/ebecheto/cds_V0/PvsLVS/spadmic_tx_packet_core_HV/.config.rul	
file	2026-07-10T12:50:03.463534+00:00	115	74a297facf6422635df2c58d79aa8b8ae46ca0b8232380471a88a182d8400ab6	.technology.rul	/group/validmgr/PROJET/Prj_xh018/ebecheto/cds_V0/PvsLVS/spadmic_tx_packet_core_HV/.technology.rul	
file	2026-07-10T12:50:03.446545+00:00	8	e0b5221b464c6962bff59130fa271e55a3668c06799e55a73cf8866c863bd18a	var_cdlOutKeys.virtuoso	/group/validmgr/PROJET/Prj_xh018/ebecheto/cds_V0/PvsLVS/spadmic_tx_packet_core_HV/var_cdlOutKeys.virtuoso	
file	2026-07-10T12:50:03.445541+00:00	10	ff592426d9aa62e8dccf07347c950b32708f993f4110b5b068fc662cdc254b26	var_streamOutKeys.virtuoso	/group/validmgr/PROJET/Prj_xh018/ebecheto/cds_V0/PvsLVS/spadmic_tx_packet_core_HV/var_streamOutKeys.virtuoso	
file	2026-07-10T12:50:03.332535+00:00	1496	7fc5ffd6115ee9ab9aa78a3964f01a43941a0926e2c1d1c53c5b7ede3f25767d	pvslvsctl	/group/validmgr/PROJET/Prj_xh018/ebecheto/cds_V0/PvsLVS/spadmic_tx_packet_core_HV/pvslvsctl	
file	2026-07-10T12:50:03.329542+00:00	281	28e4314ce607c7296fa329f2de981f14a9cbc02685328632d903ee8252e77ba9	.preset.autosave.BatchTriggers	/group/validmgr/PROJET/Prj_xh018/ebecheto/cds_V0/PvsLVS/spadmic_tx_packet_core_HV/.preset.autosave.BatchTriggers	
file	2026-07-10T12:50:03.328540+00:00	11656	24a96996d39f98e12c1b1bbc7dc7af74ff2ba5b1152dd0afe462b7ffb3cf2687	.preset.autosave	/group/validmgr/PROJET/Prj_xh018/ebecheto/cds_V0/PvsLVS/spadmic_tx_packet_core_HV/.preset.autosave	
file	2026-07-10T11:06:06.222980+00:00	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	INTERACTIVE/Edb.readlock	/group/validmgr/PROJET/Prj_xh018/ebecheto/cds_V0/PvsLVS/spadmic_tx_packet_core_HV/INTERACTIVE/Edb.readlock	
directory	2026-07-10T11:06:06.191987+00:00	4096	NOT_APPLICABLE	INTERACTIVE	/group/validmgr/PROJET/Prj_xh018/ebecheto/cds_V0/PvsLVS/spadmic_tx_packet_core_HV/INTERACTIVE	
file	2026-07-10T11:06:06.191981+00:00	44	ec631de38e28a35df0bd6fe276a033e134ae465f9c2c6b767e98c55f6994b68f	INTERACTIVE/cellrule.idx	/group/validmgr/PROJET/Prj_xh018/ebecheto/cds_V0/PvsLVS/spadmic_tx_packet_core_HV/INTERACTIVE/cellrule.idx	
file	2026-07-10T11:06:06.190979+00:00	280	a10a7bedf8924eda7856a065cd677800ceea8795f07ce932521b4a7dd53f13a7	INTERACTIVE/rule.id	/group/validmgr/PROJET/Prj_xh018/ebecheto/cds_V0/PvsLVS/spadmic_tx_packet_core_HV/INTERACTIVE/rule.id	
file	2026-07-10T11:06:06.188982+00:00	61	95f386a209dde9dab45cf3f431ea7bb1bf451bcb848c5659c61dae451b4777f1	INTERACTIVE/cell.id	/group/validmgr/PROJET/Prj_xh018/ebecheto/cds_V0/PvsLVS/spadmic_tx_packet_core_HV/INTERACTIVE/cell.id	
file	2026-07-10T11:06:06.180981+00:00	14	a113cbd7b085b37ee78f261618cae093e171af1287362660cf56e466758deea8	INTERACTIVE/.drcbrowser	/group/validmgr/PROJET/Prj_xh018/ebecheto/cds_V0/PvsLVS/spadmic_tx_packet_core_HV/INTERACTIVE/.drcbrowser	
