row,section_title,section,block,instance,module,block_kind,port,direction,width,clock_domain,reset_domain,connection_class,source_signal,connects_to,pad_or_macro,voltage_domain,top_wrapper_action,notes,source_file
11,01 - Digital Top Core Boundary,top_core_boundary,spadmic_top_matrix_v1,u_digital_core,spadmic_top_matrix_v1,top_wrapper,i2c_scl_i,input,1,async,rst_i2c_n,pad_to_core,i2c_scl_i_pad,i2c_slave.u_i2c_slave.i2c_scl_i,i2c_scl_i,1V8,route_to_pad,I2C SCL pad into synchronized slave,TOP/rtl/spadmic_top_matrix_v1.sv
12,01 - Digital Top Core Boundary,top_core_boundary,spadmic_top_matrix_v1,u_digital_core,spadmic_top_matrix_v1,top_wrapper,i2c_sda_i,input,1,async,rst_i2c_n,pad_to_core,i2c_sda_i_pad,i2c_slave.u_i2c_slave.i2c_sda_i,i2c_sda_i,1V8,route_to_pad,I2C SDA input side,TOP/rtl/spadmic_top_matrix_v1.sv
13,01 - Digital Top Core Boundary,top_core_boundary,spadmic_top_matrix_v1,u_digital_core,spadmic_top_matrix_v1,top_wrapper,i2c_sda_oe_o,output,1,clk_sys,rst_i2c_n,core_to_pad,i2c_sda_oe_o,i2c_pad.u_i2c_sda_pad.oe_i,i2c_sda_oe_o,1V8,route_to_pad,Open drain enable drives SDA low when asserted,TOP/rtl/spadmic_top_matrix_v1.sv
14,01 - Digital Top Core Boundary,top_core_boundary,spadmic_top_matrix_v1,u_digital_core,spadmic_top_matrix_v1,top_wrapper,pll_lock_i,input,1,clk_sys,rst_sys_n,macro_to_core,pll_lock,spadmic_top_matrix_v1.u_digital_core.pll_lock_i,PLL,1V8,route_from_macro,CSR visible PLL lock status only,TOP/rtl/spadmic_top_matrix_v1.sv
15,01 - Digital Top Core Boundary,top_core_boundary,spadmic_top_matrix_v1,u_digital_core,spadmic_top_matrix_v1,top_wrapper,pll_fint_sel_o,output,8,clk_sys,rst_sys_n,csr_control,pll_fint_sel_o,PLL.u_pll.SelA_to_SelH_Fint,PLL,1V8,route_to_macro,CSR SelA_Fint through SelH_Fint,TOP/rtl/spadmic_top_matrix_v1.sv
16,01 - Digital Top Core Boundary,top_core_boundary,spadmic_top_matrix_v1,u_digital_core,spadmic_top_matrix_v1,top_wrapper,pll_ro_sw_o,output,5,clk_sys,rst_sys_n,csr_control,pll_ro_sw_o,PLL.u_pll.Sw0_to_Sw4_RO,PLL,1V8,route_to_macro,Canonical name matches RTL and pad policy,TOP/rtl/spadmic_top_matrix_v1.sv
17,01 - Digital Top Core Boundary,top_core_boundary,spadmic_top_matrix_v1,u_digital_core,spadmic_top_matrix_v1,top_wrapper,pll_sel_pulse_pfd_o,output,1,clk_sys,rst_sys_n,csr_control,pll_sel_pulse_pfd_o,PLL.u_pll.sel_pulsePFD,PLL,1V8,route_to_macro,CSR PLL control,TOP/rtl/spadmic_top_matrix_v1.sv
18,01 - Digital Top Core Boundary,top_core_boundary,spadmic_top_matrix_v1,u_digital_core,spadmic_top_matrix_v1,top_wrapper,pll_enable_div_o,output,1,clk_sys,rst_sys_n,csr_control,pll_enable_div_o,PLL.u_pll.Enable_Div,PLL,1V8,route_to_macro,CSR divider enable reset default is enabled,TOP/rtl/spadmic_top_matrix_v1.sv
19,01 - Digital Top Core Boundary,top_core_boundary,spadmic_top_matrix_v1,u_digital_core,spadmic_top_matrix_v1,top_wrapper,pll_sel_40m_o,output,1,clk_sys,rst_sys_n,csr_control,pll_sel_40m_o,PLL.u_pll.Sel_40M,PLL,1V8,route_to_macro,CSR PLL 40M selection,TOP/rtl/spadmic_top_matrix_v1.sv
20,01 - Digital Top Core Boundary,top_core_boundary,spadmic_top_matrix_v1,u_digital_core,spadmic_top_matrix_v1,top_wrapper,clk_160m_ext_select_o,output,1,clk_sys,rst_sys_n,csr_control,clk_160m_ext_select_o,clock_wrapper.u_clock_wrapper.select_ext_160m,clock_wrapper,1V8,add_mux_divider,Select external 160M versus PLL 160M,TOP/rtl/spadmic_top_matrix_v1.sv
21,01 - Digital Top Core Boundary,top_core_boundary,spadmic_top_matrix_v1,u_digital_core,spadmic_top_matrix_v1,top_wrapper,R_i,input,64,async,rst_sys_n,macro_to_core,R_bus,spadmic_top_matrix_v1.u_digital_core.R_i,matrice3,MIXED_SIGNAL,route_from_macro,Matrix R event bus not external pad,TOP/rtl/spadmic_top_matrix_v1.sv
22,01 - Digital Top Core Boundary,top_core_boundary,spadmic_top_matrix_v1,u_digital_core,spadmic_top_matrix_v1,top_wrapper,Y_i,input,64,async,rst_sys_n,macro_to_core,Y_bus,spadmic_top_matrix_v1.u_digital_core.Y_i,matrice3,MIXED_SIGNAL,route_from_macro,Matrix Y event bus not external pad,TOP/rtl/spadmic_top_matrix_v1.sv
23,01 - Digital Top Core Boundary,top_core_boundary,spadmic_top_matrix_v1,u_digital_core,spadmic_top_matrix_v1,top_wrapper,B_i,input,64,async,rst_sys_n,macro_to_core,B_bus,spadmic_top_matrix_v1.u_digital_core.B_i,matrice3,MIXED_SIGNAL,route_from_macro,Matrix B event bus not external pad,TOP/rtl/spadmic_top_matrix_v1.sv
24,01 - Digital Top Core Boundary,top_core_boundary,spadmic_top_matrix_v1,u_digital_core,spadmic_top_matrix_v1,top_wrapper,Rz_o,output,64,clk_sys,rst_sys_n,core_to_macro,Rz_o,matrice3.u_matrice3.Rz,matrice3,MIXED_SIGNAL,route_to_macro,Selective matrix reset bus,TOP/rtl/spadmic_top_matrix_v1.sv
25,01 - Digital Top Core Boundary,top_core_boundary,spadmic_top_matrix_v1,u_digital_core,spadmic_top_matrix_v1,top_wrapper,Yz_o,output,64,clk_sys,rst_sys_n,core_to_macro,Yz_o,matrice3.u_matrice3.Yz,matrice3,MIXED_SIGNAL,route_to_macro,Selective matrix reset bus,TOP/rtl/spadmic_top_matrix_v1.sv
26,01 - Digital Top Core Boundary,top_core_boundary,spadmic_top_matrix_v1,u_digital_core,spadmic_top_matrix_v1,top_wrapper,Bz_o,output,64,clk_sys,rst_sys_n,core_to_macro,Bz_o,matrice3.u_matrice3.Bz,matrice3,MIXED_SIGNAL,route_to_macro,Selective matrix reset bus,TOP/rtl/spadmic_top_matrix_v1.sv
27,01 - Digital Top Core Boundary,top_core_boundary,spadmic_top_matrix_v1,u_digital_core,spadmic_top_matrix_v1,top_wrapper,matrix_din_o,output,44,clk_cfg_40m,rst_cfg_n,core_to_macro,matrix_din_o,matrice3.u_matrice3.Din,matrice3,MIXED_SIGNAL,route_to_macro,Matrix column configuration data,TOP/rtl/spadmic_top_matrix_v1.sv
28,01 - Digital Top Core Boundary,top_core_boundary,spadmic_top_matrix_v1,u_digital_core,spadmic_top_matrix_v1,top_wrapper,matrix_cin_o,output,44,clk_cfg_40m,rst_cfg_n,core_to_macro,matrix_cin_o,matrice3.u_matrice3.Cin,matrice3,MIXED_SIGNAL,route_to_macro,Matrix column configuration clock or strobe,TOP/rtl/spadmic_top_matrix_v1.sv
29,01 - Digital Top Core Boundary,top_core_boundary,spadmic_top_matrix_v1,u_digital_core,spadmic_top_matrix_v1,top_wrapper,matrix_dout_i,input,44,clk_cfg_40m,rst_cfg_n,macro_to_core,matrix_dout_i,spadmic_top_matrix_v1.u_digital_core.matrix_dout_i,matrice3,MIXED_SIGNAL,route_from_macro,Matrix readback data,TOP/rtl/spadmic_top_matrix_v1.sv
30,01 - Digital Top Core Boundary,top_core_boundary,spadmic_top_matrix_v1,u_digital_core,spadmic_top_matrix_v1,top_wrapper,matrix_cout_i,input,44,clk_cfg_40m,rst_cfg_n,macro_to_core,matrix_cout_i,spadmic_top_matrix_v1.u_digital_core.matrix_cout_i,matrice3,MIXED_SIGNAL,route_from_macro,Matrix readback strobe or output clock,TOP/rtl/spadmic_top_matrix_v1.sv
31,01 - Digital Top Core Boundary,top_core_boundary,spadmic_top_matrix_v1,u_digital_core,spadmic_top_matrix_v1,top_wrapper,cal_r_start_async_i,input,1,async,async_rst_n,pad_to_core,cal_r_start_async_i,u_tdc_r.u_tdc_r.cal_start_async_i,cal_r_start_async_i,1V8,route_to_pad,External calibration START R axis,TOP/rtl/spadmic_top_matrix_v1.sv
32,01 - Digital Top Core Boundary,top_core_boundary,spadmic_top_matrix_v1,u_digital_core,spadmic_top_matrix_v1,top_wrapper,cal_r_stop_async_i,input,1,async,async_rst_n,pad_to_core,cal_r_stop_async_i,u_tdc_r.u_tdc_r.cal_stop_async_i,cal_r_stop_async_i,1V8,route_to_pad,External calibration STOP R axis,TOP/rtl/spadmic_top_matrix_v1.sv
33,01 - Digital Top Core Boundary,top_core_boundary,spadmic_top_matrix_v1,u_digital_core,spadmic_top_matrix_v1,top_wrapper,cal_y_start_async_i,input,1,async,async_rst_n,pad_to_core,cal_y_start_async_i,u_tdc_y.u_tdc_y.cal_start_async_i,cal_y_start_async_i,1V8,route_to_pad,External calibration START Y axis,TOP/rtl/spadmic_top_matrix_v1.sv
34,01 - Digital Top Core Boundary,top_core_boundary,spadmic_top_matrix_v1,u_digital_core,spadmic_top_matrix_v1,top_wrapper,cal_y_stop_async_i,input,1,async,async_rst_n,pad_to_core,cal_y_stop_async_i,u_tdc_y.u_tdc_y.cal_stop_async_i,cal_y_stop_async_i,1V8,route_to_pad,External calibration STOP Y axis,TOP/rtl/spadmic_top_matrix_v1.sv
35,01 - Digital Top Core Boundary,top_core_boundary,spadmic_top_matrix_v1,u_digital_core,spadmic_top_matrix_v1,top_wrapper,cal_b_start_async_i,input,1,async,async_rst_n,pad_to_core,cal_b_start_async_i,u_tdc_b.u_tdc_b.cal_start_async_i,cal_b_start_async_i,1V8,route_to_pad,External calibration START B axis,TOP/rtl/spadmic_top_matrix_v1.sv
36,01 - Digital Top Core Boundary,top_core_boundary,spadmic_top_matrix_v1,u_digital_core,spadmic_top_matrix_v1,top_wrapper,cal_b_stop_async_i,input,1,async,async_rst_n,pad_to_core,cal_b_stop_async_i,u_tdc_b.u_tdc_b.cal_stop_async_i,cal_b_stop_async_i,1V8,route_to_pad,External calibration STOP B axis,TOP/rtl/spadmic_top_matrix_v1.sv
37,01 - Digital Top Core Boundary,top_core_boundary,spadmic_top_matrix_v1,u_digital_core,spadmic_top_matrix_v1,top_wrapper,ddr_data_l_o,output,16,clk_sys,rst_sys_n,core_to_pad,ddr_data_l_o,SLVS_DATA.u_slvs_data_0_to_15.data_l_i,DATA[15:0],1V8,route_to_driver,Sixteen north row data SLVS drivers low phase,TOP/rtl/spadmic_top_matrix_v1.sv
38,01 - Digital Top Core Boundary,top_core_boundary,spadmic_top_matrix_v1,u_digital_core,spadmic_top_matrix_v1,top_wrapper,ddr_data_h_o,output,16,clk_sys,rst_sys_n,core_to_pad,ddr_data_h_o,SLVS_DATA.u_slvs_data_0_to_15.data_h_i,DATA[15:0],1V8,route_to_driver,Sixteen north row data SLVS drivers high phase,TOP/rtl/spadmic_top_matrix_v1.sv
39,01 - Digital Top Core Boundary,top_core_boundary,spadmic_top_matrix_v1,u_digital_core,spadmic_top_matrix_v1,top_wrapper,ddr_pair_valid_o,output,1,clk_sys,rst_sys_n,core_to_pad,ddr_pair_valid_o,SLVS_VALID.u_slvs_valid.data_i,DATA_VALID,1V8,route_to_driver,Dedicated north row valid driver,TOP/rtl/spadmic_top_matrix_v1.sv
40,01 - Digital Top Core Boundary,top_core_boundary,spadmic_top_matrix_v1,u_digital_core,spadmic_top_matrix_v1,top_wrapper,ddr_clk_o,output,1,clk_sys,rst_sys_n,core_to_pad,ddr_clk_o,SLVS_CLK.u_slvs_clk.data_i,DATA_CLK,1V8,route_to_driver,Dedicated forwarded clock driver,TOP/rtl/spadmic_top_matrix_v1.sv
41,"02 - Pads, PLL, Clock Wrapper, and Macro Boundary",pad_wrapper,clock_wrapper,u_clock_wrapper,external_clock_mux_divider,top_wrapper,clk_160m_ext_i,input,1,160m,-,pad_to_core,clk_160m_ext_i_pad,clock_wrapper.u_clock_wrapper.clk_160m_ext_i,clk_160m_ext_i,TBD,route_to_pad,Only external clock pad in v1,TOP/docs/24_MATRIX_TOP_CHIP_WRAPPER_PAD_CONTRACT.md
42,"02 - Pads, PLL, Clock Wrapper, and Macro Boundary",pad_wrapper,clock_wrapper,u_clock_wrapper,external_clock_mux_divider,top_wrapper,pll_clk_160m_i,input,1,160m,-,macro_to_core,pll_clk_160m,clock_wrapper.u_clock_wrapper.pll_clk_160m_i,PLL,1V8,route_from_macro,Default clock source after reset,TOP/docs/24_MATRIX_TOP_CHIP_WRAPPER_PAD_CONTRACT.md
43,"02 - Pads, PLL, Clock Wrapper, and Macro Boundary",pad_wrapper,clock_wrapper,u_clock_wrapper,external_clock_mux_divider,top_wrapper,select_ext_160m_i,input,1,clk_sys,rst_sys_n,csr_control,clk_160m_ext_select_o,clock_wrapper.u_clock_wrapper.select_ext_160m_i,spadmic_top_matrix_v1,1V8,connect_direct,CSR selects external 160M when asserted,TOP/docs/24_MATRIX_TOP_CHIP_WRAPPER_PAD_CONTRACT.md
44,"02 - Pads, PLL, Clock Wrapper, and Macro Boundary",pad_wrapper,clock_wrapper,u_clock_wrapper,external_clock_mux_divider,top_wrapper,clk_sys_o,output,1,clk_sys,-,clock,clock_wrapper_clk_sys,spadmic_top_matrix_v1.u_digital_core.clk_sys,clock_wrapper,1V8,connect_direct,Distribution point chosen during physical floorplan,TOP/docs/24_MATRIX_TOP_CHIP_WRAPPER_PAD_CONTRACT.md
45,"02 - Pads, PLL, Clock Wrapper, and Macro Boundary",pad_wrapper,clock_wrapper,u_clock_wrapper,external_clock_mux_divider,top_wrapper,clk_cfg_40m_o,output,1,clk_cfg_40m,-,clock,clock_wrapper_clk_cfg_40m,spadmic_top_matrix_v1.u_digital_core.clk_cfg_40m,clock_wrapper,1V8,add_mux_divider,Derived from selected 160M source or PLL 40M,TOP/docs/24_MATRIX_TOP_CHIP_WRAPPER_PAD_CONTRACT.md
46,"02 - Pads, PLL, Clock Wrapper, and Macro Boundary",pad_wrapper,clock_wrapper,u_clock_wrapper,external_clock_mux_divider,top_wrapper,clk_ref_40m_o,output,1,clk_ref_40m,-,clock,clock_wrapper_clk_ref_40m,spadmic_top_matrix_v1.u_digital_core.clk_ref_40m,clock_wrapper,1V8,add_mux_divider,No independent external 40M pad,TOP/docs/24_MATRIX_TOP_CHIP_WRAPPER_PAD_CONTRACT.md
47,"02 - Pads, PLL, Clock Wrapper, and Macro Boundary",pad_wrapper,PLL,u_pll,PLL,macro,SelA_to_SelH_Fint,input,8,analog,macro_reset,csr_control,pll_fint_sel_o,PLL.u_pll.SelA_to_SelH_Fint,PLL,1V8,route_to_macro,CSR controlled PLL bits,TOP/docs/24_MATRIX_TOP_CHIP_WRAPPER_PAD_CONTRACT.md
48,"02 - Pads, PLL, Clock Wrapper, and Macro Boundary",pad_wrapper,PLL,u_pll,PLL,macro,Sw0_to_Sw4_RO,input,5,analog,macro_reset,csr_control,pll_ro_sw_o,PLL.u_pll.Sw0_to_Sw4_RO,PLL,1V8,route_to_macro,CSR controlled RO switches,TOP/docs/24_MATRIX_TOP_CHIP_WRAPPER_PAD_CONTRACT.md
49,"02 - Pads, PLL, Clock Wrapper, and Macro Boundary",pad_wrapper,PLL,u_pll,PLL,macro,sel_pulsePFD,input,1,analog,macro_reset,csr_control,pll_sel_pulse_pfd_o,PLL.u_pll.sel_pulsePFD,PLL,1V8,route_to_macro,CSR controlled PLL bit,TOP/docs/24_MATRIX_TOP_CHIP_WRAPPER_PAD_CONTRACT.md
50,"02 - Pads, PLL, Clock Wrapper, and Macro Boundary",pad_wrapper,PLL,u_pll,PLL,macro,Enable_Div,input,1,analog,macro_reset,csr_control,pll_enable_div_o,PLL.u_pll.Enable_Div,PLL,1V8,route_to_macro,CSR controlled divider enable,TOP/docs/24_MATRIX_TOP_CHIP_WRAPPER_PAD_CONTRACT.md
51,"02 - Pads, PLL, Clock Wrapper, and Macro Boundary",pad_wrapper,PLL,u_pll,PLL,macro,Sel_40M,input,1,analog,macro_reset,csr_control,pll_sel_40m_o,PLL.u_pll.Sel_40M,PLL,1V8,route_to_macro,CSR controlled 40M selection,TOP/docs/24_MATRIX_TOP_CHIP_WRAPPER_PAD_CONTRACT.md
52,"02 - Pads, PLL, Clock Wrapper, and Macro Boundary",pad_wrapper,PLL,u_pll,PLL,macro,lock_o,output,1,clk_sys,macro_reset,status,pll_lock,spadmic_top_matrix_v1.u_digital_core.pll_lock_i,PLL,1V8,route_from_macro,PLL lock is CSR visible only,TOP/docs/24_MATRIX_TOP_CHIP_WRAPPER_PAD_CONTRACT.md
53,"02 - Pads, PLL, Clock Wrapper, and Macro Boundary",pad_wrapper,PLL,u_pll,PLL,macro,Ibi_KVCO,input,1,analog,macro_reset,pad_to_macro,pll_Ibi_KVCO_i_pad,PLL.u_pll.Ibi_KVCO,pll_Ibi_KVCO_i,TBD,route_to_pad,External PLL control pad direct to PLL,TOP/docs/24_MATRIX_TOP_CHIP_WRAPPER_PAD_CONTRACT.md
54,"02 - Pads, PLL, Clock Wrapper, and Macro Boundary",pad_wrapper,PLL,u_pll,PLL,macro,Icp,input,1,analog,macro_reset,pad_to_macro,pll_Icp_i_pad,PLL.u_pll.Icp,pll_Icp_i,TBD,route_to_pad,External PLL control pad direct to PLL,TOP/docs/24_MATRIX_TOP_CHIP_WRAPPER_PAD_CONTRACT.md
55,"02 - Pads, PLL, Clock Wrapper, and Macro Boundary",pad_wrapper,PLL,u_pll,PLL,macro,Ref_in_pll_ro,input,1,analog,macro_reset,pad_to_macro,pll_Ref_in_pll_ro_i_pad,PLL.u_pll.Ref_in_pll_ro,pll_Ref_in_pll_ro_i,TBD,route_to_pad,External PLL reference or RO pad direct to PLL,TOP/docs/24_MATRIX_TOP_CHIP_WRAPPER_PAD_CONTRACT.md
56,"02 - Pads, PLL, Clock Wrapper, and Macro Boundary",pad_wrapper,PLL,u_pll,PLL,macro,Rst_Div,input,1,analog,macro_reset,pad_to_macro,pll_Rst_Div_i_pad,PLL.u_pll.Rst_Div,pll_Rst_Div_i,1V8,route_to_pad,External PLL divider reset,TOP/docs/24_MATRIX_TOP_CHIP_WRAPPER_PAD_CONTRACT.md
57,"02 - Pads, PLL, Clock Wrapper, and Macro Boundary",pad_wrapper,PLL,u_pll,PLL,macro,Rst_CP,input,1,analog,macro_reset,pad_to_macro,pll_Rst_CP_i_pad,PLL.u_pll.Rst_CP,pll_Rst_CP_i,1V8,route_to_pad,External PLL charge pump reset,TOP/docs/24_MATRIX_TOP_CHIP_WRAPPER_PAD_CONTRACT.md
58,03 - Reset Glue,reset_glue,reset_sync,u_rst_sys_sync,mptdc_reset_sync,glue_rtl,clk,input,1,clk_sys,-,clock,clk_sys,mptdc_reset_sync.u_rst_sys_sync.clk,clock_wrapper,1V8,instantiate,Generated rst_sys_n for clk_sys domain,TOP/rtl/spadmic_top_matrix_v1.sv
59,03 - Reset Glue,reset_glue,reset_sync,u_rst_sys_sync,mptdc_reset_sync,glue_rtl,async_rst_n,input,1,async,async_rst_n,reset,async_rst_n_pad,mptdc_reset_sync.u_rst_sys_sync.async_rst_n,async_rst_n,1V8,instantiate,Global reset synchronizer,TOP/rtl/spadmic_top_matrix_v1.sv
60,03 - Reset Glue,reset_glue,reset_sync,u_rst_sys_sync,mptdc_reset_sync,glue_rtl,rst_n_o,output,1,clk_sys,rst_sys_n,reset,rst_sys_n,all_clk_sys_blocks.all.rst_n,internal,1V8,connect_direct,Common active low synchronous reset for clk_sys blocks,TOP/rtl/spadmic_top_matrix_v1.sv
61,03 - Reset Glue,reset_glue,reset_sync,u_rst_cfg_sync,mptdc_reset_sync,glue_rtl,clk,input,1,clk_cfg_40m,-,clock,clk_cfg_40m,mptdc_reset_sync.u_rst_cfg_sync.clk,clock_wrapper,1V8,instantiate,Generated rst_cfg_n for matrix cfg clock domain,TOP/rtl/spadmic_top_matrix_v1.sv
62,03 - Reset Glue,reset_glue,reset_sync,u_rst_cfg_sync,mptdc_reset_sync,glue_rtl,async_rst_n,input,1,async,async_rst_n,reset,async_rst_n_pad,mptdc_reset_sync.u_rst_cfg_sync.async_rst_n,async_rst_n,1V8,instantiate,Global reset synchronizer,TOP/rtl/spadmic_top_matrix_v1.sv
63,03 - Reset Glue,reset_glue,reset_sync,u_rst_cfg_sync,mptdc_reset_sync,glue_rtl,rst_n_o,output,1,clk_cfg_40m,rst_cfg_n,reset,rst_cfg_n,matrix_cfg_ctrl.u_matrix_cfg.rst_cfg_n,internal,1V8,connect_direct,Active low reset for cfg domain,TOP/rtl/spadmic_top_matrix_v1.sv
64,03 - Reset Glue,reset_glue,reset_sync,u_rst_i2c_sync,mptdc_reset_sync,glue_rtl,clk,input,1,clk_sys,-,clock,clk_sys,mptdc_reset_sync.u_rst_i2c_sync.clk,clock_wrapper,1V8,instantiate,I2C transport reset sync in clk_sys domain,TOP/rtl/spadmic_top_matrix_v1.sv
65,03 - Reset Glue,reset_glue,reset_sync,u_rst_i2c_sync,mptdc_reset_sync,glue_rtl,async_rst_n,input,1,async,i2c_async_rst_n,reset,i2c_async_rst_n,mptdc_reset_sync.u_rst_i2c_sync.async_rst_n,internal,1V8,connect_direct,i2c_async_rst_n equals async_rst_n and not i2c_rst_i,TOP/rtl/spadmic_top_matrix_v1.sv
66,03 - Reset Glue,reset_glue,reset_sync,u_rst_i2c_sync,mptdc_reset_sync,glue_rtl,rst_n_o,output,1,clk_sys,rst_i2c_n,reset,rst_i2c_n,i2c_slave_and_bridge.u_i2c_slave/u_i2c_bridge.rst_n,internal,1V8,connect_direct,Only resets I2C transport blocks,TOP/rtl/spadmic_top_matrix_v1.sv
67,04 - Genus Handoff Blocks,handoff_block,i2c_slave,u_i2c_slave,spadmic_i2c_slave,handoff,clk_sys,input,1,clk_sys,rst_i2c_n,clock,clk_sys,i2c_slave.u_i2c_slave.clk_sys,clock_wrapper,1V8,connect_direct,I2C FSM sampled in clk_sys domain,I2C/rtl/spadmic_i2c_slave.sv
68,04 - Genus Handoff Blocks,handoff_block,i2c_slave,u_i2c_slave,spadmic_i2c_slave,handoff,rst_n,input,1,clk_sys,rst_i2c_n,reset,rst_i2c_n,i2c_slave.u_i2c_slave.rst_n,internal,1V8,connect_direct,I2C transport reset only,I2C/rtl/spadmic_i2c_slave.sv
69,04 - Genus Handoff Blocks,handoff_block,i2c_slave,u_i2c_slave,spadmic_i2c_slave,handoff,i2c_scl_i,input,1,async,rst_i2c_n,pad_to_core,i2c_scl_i_pad,i2c_slave.u_i2c_slave.i2c_scl_i,i2c_scl_i,1V8,route_to_pad,External SCL pad,I2C/rtl/spadmic_i2c_slave.sv
70,04 - Genus Handoff Blocks,handoff_block,i2c_slave,u_i2c_slave,spadmic_i2c_slave,handoff,i2c_sda_i,input,1,async,rst_i2c_n,pad_to_core,i2c_sda_i_pad,i2c_slave.u_i2c_slave.i2c_sda_i,i2c_sda_i,1V8,route_to_pad,External SDA input,I2C/rtl/spadmic_i2c_slave.sv
71,04 - Genus Handoff Blocks,handoff_block,i2c_slave,u_i2c_slave,spadmic_i2c_slave,handoff,i2c_sda_oe_o,output,1,clk_sys,rst_i2c_n,core_to_pad,i2c_sda_oe_o,i2c_pad.u_i2c_sda_pad.oe_i,i2c_sda_oe_o,1V8,route_to_pad,Open drain output enable,I2C/rtl/spadmic_i2c_slave.sv
72,04 - Genus Handoff Blocks,handoff_block,i2c_slave,u_i2c_slave,spadmic_i2c_slave,handoff,txn_valid_o,output,1,clk_sys,rst_i2c_n,subblock_to_subblock,i2c_cmd_valid,i2c_csr_bridge.u_i2c_bridge.i2c_cmd_valid_i,internal,1V8,connect_direct,I2C transaction request valid,I2C/rtl/spadmic_i2c_slave.sv
